Data Series,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 ,1969 ,1968 ,1967 ,1966 ,1965 ,1964 ,1963 ,1962 ,1961 ,1960 ,1959 ,1958 ,1957 
  70 - 74 Years,5775,5337,5002,4705,4100,3652,3100,2656,2614,2687,2641,2639,2508,2382,2315,2327,2533,2784,2989,3228,3393,4298,4489,4710,4548,4368,3966,3635,3294,3000,2815,2694,2505,2320,2007,1819,1682,1504,1428,1326,1211,1117,1052,931,na,na,na,na,na,na,na,na,na,454,na,na,na,na,na,na,na,na,na,na,na,na,202
  75 - 79 Years,2973,2473,1977,2047,2091,2052,2055,1970,1882,1767,1778,1835,1948,2043,2422,2515,2450,2339,2210,2005,1734,3185,2905,2454,2071,1806,1720,1598,1516,1384,1283,1225,1126,1054,na,na,na,na,na,na,na,na,na,390,na,na,na,na,na,na,na,na,na,176,na,na,na,na,na,na,na,na,na,na,na,na,91
  80 - 84 Years,1424,1414,1323,1309,1276,1280,1319,1408,1468,1505,1538,1487,1434,1406,1396,1219,1165,1158,1087,1032,946,1021,878,798,758,712,703,672,638,604,556,499,431,386,na,na,na,na,na,na,na,na,na,142,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,36
  85 - 89 Years,742,775,805,879,918,930,942,929,927,871,823,711,664,582,592,561,536,491,455,407,342,388,357,317,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,20246,18779,17313,16834,15961,15060,14188,13505,12839,11985,11361,10659,10038,9876,10445,10198,10221,10147,9919,9651,9418,12533,12712,12783,12645,12395,11962,11445,10927,10228,9672,9123,8597,8054,7301,6767,6249,5669,5196,4658,4267,3911,3579,3372,3400,3200,3000,3000,2600,2600,2400,2200,2000,1757,2700,2500,2400,1800,1700,1300,1200,1100,900,900,900,900,765
  70 Years & Over,11712,10792,9884,9695,9062,8517,8018,7560,7427,7299,7195,7071,6910,6744,7131,6963,6970,7025,6946,6860,6576,9079,8781,8415,7815,7298,6753,6227,5741,5248,4883,4617,4225,3908,3456,3141,2849,2529,2357,2157,1981,1825,1686,1538,1500,1400,1300,1300,1100,1200,1100,1000,900,713,800,800,900,600,600,500,500,400,400,300,400,400,349
  75 Years & Over,5937,5455,4882,4990,4962,4865,4918,4904,4813,4612,4554,4432,4402,4362,4816,4636,4437,4241,3957,3632,3183,4781,4292,3705,3267,2930,2787,2592,2447,2248,2068,1923,1720,1588,1449,1322,1167,1025,929,831,770,708,634,607,na,na,na,na,na,na,na,na,na,259,na,na,na,na,na,na,na,na,na,na,na,na,147
  80 Years & Over,2964,2982,2905,2943,2871,2813,2863,2934,2931,2845,2776,2597,2454,2319,2394,2121,1987,1902,1747,1627,1449,1596,1387,1251,1196,1124,1067,994,931,864,785,698,594,534,na,na,na,na,na,na,na,na,na,217,na,na,na,na,na,na,na,na,na,83,na,na,na,na,na,na,na,na,na,na,na,na,56
  85 Years & Over,1540,1568,1582,1634,1595,1533,1544,1526,1463,1340,1238,1110,1020,913,998,902,822,744,660,595,503,575,509,453,438,412,364,322,293,260,229,199,163,148,na,na,na,na,na,na,na,na,na,75,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,20
  90 Years & Over,798,793,777,755,677,603,602,597,536,469,415,399,356,331,406,341,286,253,205,188,161,187,152,136,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Total Female Indians,183947,178890,172291,176709,177294,176032,175003,173941,172648,171662,170778,170077,168488,167792,165380,156282,151911,147158,141510,135352,131257,131155,126483,123529,120894,116946,112218,107852,103965,100772,97610,94780,91852,89052,84639,82287,79908,77724,75532,73100,70670,68171,65611,62969,65600,64800,64000,63300,62500,61700,60800,59700,58700,55808,57200,56400,55400,54000,52500,51000,49500,48100,46900,45200,43700,42200,38096
  0 - 4 Years,6962,7130,7248,7568,7907,8118,8337,8677,8813,8848,9293,10340,11121,12309,12904,12021,11914,11604,11099,10616,10522,10412,10119,10123,10338,10315,10111,10028,9966,9910,9692,9513,9022,8492,8097,7800,7551,7402,7346,6940,6464,5870,5316,4730,5000,5200,5700,6100,6500,6700,6900,7100,7400,7611,8700,9600,10000,10300,10700,11100,11400,11600,11700,11300,10900,10600,9242
  5 - 9 Years,9811,9929,10167,10598,10994,11472,12231,12778,13237,13593,13836,13740,13460,13242,12781,12178,12039,11789,11538,11192,11144,11201,11080,11074,11019,10706,10387,9785,9135,8709,8212,7809,7527,7350,7027,6726,6273,5880,5426,5171,5159,5392,5541,5717,6300,6600,6800,7200,7600,8200,8600,9200,9400,9327,10500,10700,11000,10900,10500,10000,9500,8900,8500,8200,8100,7800,7189
  10 - 14 Years,12334,12718,12717,13098,13459,13429,13189,12954,12634,12435,12288,12152,12035,11926,11781,11626,11436,11426,11343,11201,10927,10926,10378,9834,9416,8892,8395,8034,7806,7478,7131,6705,6428,6133,5763,5775,6000,6148,6330,6496,6649,6658,6993,7359,8100,8500,8900,9200,9400,9500,9400,9300,9300,8853,9700,9100,8500,8000,7700,7500,7100,7000,6600,6100,5100,4400,3347
  15 - 19 Years,13330,12673,11944,11918,12002,11806,11584,11476,11370,11338,11411,11432,11473,11455,11380,11017,10805,10363,9813,9408,8963,8704,8384,8235,7946,7623,7088,6744,6394,6126,6205,6508,6725,6988,7002,7085,7089,7407,7795,8192,8543,8906,8949,8939,9400,9200,9100,9000,8900,8500,8300,7800,7400,6815,7100,6800,6700,6300,5700,4700,4000,3200,2700,2600,2900,3100,3276
  20 - 24 Years,11661,11223,10762,11146,11183,11210,11242,11313,11376,11377,11286,11306,11092,11067,11178,10411,9914,9611,9406,8870,8598,8264,7893,7655,7585,7562,7603,7576,7729,7942,8029,8066,8302,8686,8708,9132,9544,9698,9768,9739,9494,9186,8828,8331,8500,8300,7900,7400,7000,6700,6400,6200,6100,5271,4500,3800,3100,2500,2500,2500,2900,3200,3700,3900,3900,4000,3780
  25 - 29 Years,11486,11312,11131,11816,11924,11851,11834,11651,11696,12254,12818,13538,14372,15745,16053,14408,13748,13241,12225,11021,10843,10879,10509,10641,10871,10634,10106,9900,9945,10222,10504,10810,10859,10815,10405,10230,10027,9798,9447,9010,8519,7894,7269,6553,6800,6500,6300,6100,5700,4900,4300,3900,3500,3418,2500,2800,3000,3500,3400,3600,3600,3600,3700,3700,3800,3900,3518
  30 - 34 Years,12822,12613,11884,12334,12787,13182,13861,14912,16168,17090,17732,17812,17690,17425,16601,15029,14705,14173,13485,12757,12319,12214,11942,12024,12207,12303,12271,12027,11789,11577,11201,10888,10570,10131,9453,9053,8499,7999,7411,6976,6573,6175,5845,5229,5000,4400,3900,3500,3500,3800,4100,4100,4100,3957,3500,3400,3500,3400,3400,3400,3600,3400,3400,3100,2900,2600,2374
  35 - 39 Years,14799,14835,14891,16133,16895,17331,17294,17170,16789,16392,15995,15710,15259,14786,14032,13213,12948,12713,12611,12513,12540,13121,12950,12835,12602,12133,11690,11249,10734,10248,9782,9202,8711,8165,7564,7183,6820,6530,5870,5048,4394,3881,3364,3366,3800,4000,4100,4100,4000,3800,3600,3500,3400,3127,3300,3300,3100,3100,2900,2700,2400,2300,2100,2100,2100,2100,1933
  40 - 44 Years,17690,16964,16008,16061,15762,15300,14981,14514,14073,13630,13220,12957,12731,12711,12697,12686,12765,12759,12587,12401,12011,12045,11651,11250,10813,10368,9701,9207,8643,8227,7846,7472,7193,6477,5515,4806,4221,3631,3633,3794,3905,3918,3850,3738,3800,3600,3500,3300,3100,3000,3000,2900,2700,2606,2600,2200,2100,2000,2000,1900,1900,1800,1800,1600,1500,1400,1171
  45 - 49 Years,15097,14306,13445,13543,13190,12749,12450,12237,12200,12302,12469,12629,12645,12552,12360,11980,11696,11288,10873,10499,10102,9810,9422,8935,8554,8185,7808,7529,6774,5874,5119,4493,3830,3814,3926,4018,4043,3971,3823,3668,3427,3312,3158,2954,3000,2900,2700,2600,2500,2300,2200,2100,2000,1814,1700,1900,1700,1600,1400,1300,1100,1100,1000,1000,900,900,837
  50 - 54 Years,12476,11953,11330,11832,11959,12099,12243,12207,12042,12010,11661,11317,10945,10515,10389,9979,9407,8972,8476,8100,7755,7833,7568,6888,5996,5245,4603,3956,3916,4036,4106,4125,4039,3867,3702,3490,3363,3211,3024,2872,2742,2597,2483,2356,2200,2100,2000,1800,1700,1700,1600,1500,1400,1130,1300,1100,1000,900,900,900,700,800,700,600,600,600,531
  55 - 59 Years,11755,11633,11247,11624,11599,11286,10980,10606,10245,9792,9405,8897,8536,8048,7961,7611,7348,7098,6454,5612,4894,4539,3910,3895,4045,4110,4122,4028,3860,3703,3501,3361,3224,3035,2820,2699,2558,2463,2348,2141,1987,1838,1689,1564,1600,1500,1300,1200,1100,1000,1000,900,900,848,700,700,700,600,600,600,500,500,400,400,400,400,394
  60 - 64 Years,10825,10332,9730,9805,9490,9135,8654,8299,7839,7459,7194,6938,6739,6081,5421,4724,4144,3533,3510,3645,3690,3978,3904,3804,3663,3473,3334,3183,2978,2781,2641,2488,2391,2259,2064,1890,1763,1628,1517,1432,1324,1175,1064,949,900,800,800,800,700,800,700,600,500,448,500,400,400,400,400,400,400,300,300,300,300,200,231
  65 - 69 Years,8707,8020,7530,7438,7164,6889,6627,6427,5818,5073,4409,3852,3299,3244,3471,3489,3532,3408,3304,3175,3019,3151,3032,2886,2706,2531,2385,2265,2133,1939,1779,1640,1486,1422,1330,1246,1096,991,871,769,705,661,645,612,600,600,500,500,400,400,300,300,300,293,300,300,300,300,200,200,200,200,200,200,200,100,135
  70 - 74 Years,6338,6030,5745,5396,4723,4136,3584,3054,3012,3120,3141,3176,3089,2992,2920,2747,2638,2542,2388,2219,2086,2180,2073,1956,1761,1605,1446,1289,1195,1113,1052,943,868,768,668,612,562,554,532,489,458,409,342,311,na,na,na,na,na,na,na,na,na,161,na,na,na,na,na,na,na,na,na,na,na,na,78
  75 - 79 Years,3631,3130,2575,2604,2738,2786,2818,2745,2635,2525,2381,2256,2156,2004,1922,1804,1677,1570,1439,1265,1078,1176,1039,934,854,784,722,659,571,508,456,421,403,397,na,na,na,na,na,na,na,na,na,162,na,na,na,na,na,na,na,na,na,88,na,na,na,na,na,na,na,na,na,na,na,na,20
  80 - 84 Years,2271,2273,2193,2152,2034,1898,1841,1763,1629,1491,1393,1302,1205,1109,997,889,785,694,638,578,535,497,449,392,350,308,277,255,261,252,239,236,191,168,na,na,na,na,na,na,na,na,na,64,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,21
  85 - 89 Years,1312,1227,1195,1124,1030,952,896,827,761,674,610,545,473,429,396,357,306,283,237,207,170,161,135,121,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,22899,21269,19787,19233,18143,17064,16123,15147,14166,13142,12170,11309,10390,9930,9842,9399,9042,8588,8090,7517,6949,7229,6773,6336,5839,5398,4998,4607,4299,3937,3644,3341,3031,2840,2593,2400,2158,1957,1797,1620,1493,1370,1262,1184,1200,1200,1000,1000,800,800,700,600,600,583,600,600,600,500,400,400,400,400,300,300,300,200,273
  70 Years & Over,14192,13249,12257,11795,10979,10175,9496,8720,8348,8069,7761,7457,7091,6686,6371,5910,5510,5180,4786,4342,3930,4078,3741,3450,3133,2867,2613,2342,2166,1998,1865,1701,1545,1418,1263,1154,1062,966,926,851,788,709,617,572,600,600,500,500,400,400,400,300,300,290,300,300,300,200,200,200,200,200,100,100,100,100,138
  75 Years & Over,7854,7219,6512,6399,6256,6039,5912,5666,5336,4949,4620,4281,4002,3694,3451,3163,2872,2638,2398,2123,1844,1898,1668,1494,1372,1262,1167,1053,971,885,813,758,677,650,595,542,500,412,394,362,330,300,275,261,na,na,na,na,na,na,na,na,na,129,na,na,na,na,na,na,na,na,na,na,na,na,60
  80 Years & Over,4223,4089,3937,3795,3518,3253,3094,2921,2701,2424,2239,2025,1846,1690,1529,1359,1195,1068,959,858,766,722,629,560,518,478,445,394,400,377,357,337,274,253,na,na,na,na,na,na,na,na,na,99,na,na,na,na,na,na,na,na,na,41,na,na,na,na,na,na,na,na,na,na,na,na,40
  85 Years & Over,1952,1816,1744,1643,1484,1355,1253,1158,1072,933,846,723,641,581,532,470,410,374,321,280,231,225,180,168,168,170,168,139,139,125,118,101,83,85,na,na,na,na,na,na,na,na,na,35,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,19
  90 Years & Over,640,589,549,519,454,403,357,331,311,259,236,178,168,152,136,113,104,91,84,73,61,64,45,47,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Other Ethnic Groups (Total),140748,133773,127370,129669,129081,128650,128013,127623,126808,126681,126496,125677,125324,125754,120013,102339,92138,80462,69238,59658,54594,53136,49069,46443,44256,42209,40206,38505,37114,35884,34328,32812,31230,29610,27785,27215,26671,26166,25572,24828,24158,23459,22815,22187,50000,48600,47400,46000,44600,43100,41700,40500,39200,23218,36400,35500,34500,31700,29900,30700,31100,29800,29200,29400,29800,29000,34190
  0 - 4 Years,6383,6468,6387,6287,6344,6441,6600,6583,6497,6429,7021,7702,8426,9491,9756,8709,7914,6984,6009,5202,4837,4654,4375,4166,4260,4394,4497,4624,4738,4744,4707,4535,4159,3768,3340,3021,2827,2855,2940,2742,2554,2290,2064,1877,4800,5100,5300,5400,5500,5300,5000,4700,4500,2558,3900,3900,4000,3800,3800,4000,4100,4200,4000,4200,4200,4200,4965
  5 - 9 Years,8303,8094,7832,7747,7645,8049,8541,9131,9690,10309,10411,10365,10269,10378,9954,8762,8189,7188,6184,5246,4819,4698,4384,4163,4173,4167,4104,3854,3599,3472,3204,2924,2756,2548,2534,2549,2433,2210,1881,1795,1759,1795,1790,1773,5100,4900,4700,4400,4300,4000,4100,4300,4200,2686,4500,4400,4300,4000,3700,3900,4000,3600,3700,3700,3800,3700,4375
  10 - 14 Years,8522,8397,8504,9092,9570,9538,9492,9327,9340,9333,9284,9246,9079,8741,8152,6947,6134,5503,4878,4419,4260,4160,3848,3570,3444,3246,2965,2803,2637,2425,2263,2123,1982,1820,1706,1681,1741,1748,1767,1769,1764,1742,1779,1828,3900,3900,3900,4000,4000,4100,4100,3900,3900,2619,4200,4000,4000,3600,3400,3400,3600,3300,3400,3000,2500,2200,2220
  15 - 19 Years,9290,8903,8502,8670,8582,8497,8408,8308,7988,7645,7227,6852,6518,6215,5772,5241,4717,4270,3790,3486,3279,3100,2921,2778,2496,2300,2154,2061,1935,1820,1759,1784,1780,1808,1724,1724,1697,1766,1824,1896,2015,2132,2165,2211,3900,4000,4000,4000,4000,3800,3700,3400,3200,2365,3700,3600,3300,3200,2700,2400,2100,1700,1300,1500,1600,1900,2316
  20 - 24 Years,8055,7682,7337,7355,7009,6606,6305,6009,5770,5530,5478,5301,5161,5272,5327,4640,4166,3778,3426,2945,2620,2462,2318,2207,2118,2076,2065,2017,2085,2136,2098,2015,2048,2045,1961,2112,2292,2369,2434,2468,2414,2332,2297,2159,4400,4300,4100,4000,3900,3900,3800,3600,3400,2062,2600,2100,1700,1400,1300,1500,1800,1800,1800,1900,2100,2000,2757
  25 - 29 Years,7136,6635,6173,6231,6187,6351,6225,6119,5951,6114,6458,7099,8430,10089,10408,7662,6266,5208,4306,3601,3320,3285,3092,3169,3182,3129,2907,2891,2895,2963,2958,2981,2917,2869,2754,2761,2729,2739,2619,2481,2378,2244,2097,2046,5200,5200,5200,5200,4800,4200,3800,3500,3100,1293,1600,1700,1900,1800,1900,1900,2100,2100,2200,2300,2500,2500,3267
  30 - 34 Years,9389,8822,8293,8229,8351,8697,9109,9931,10859,11940,13088,14079,15032,15786,15289,12189,10994,9177,7631,5989,5458,5026,4597,4340,4220,4084,3970,3813,3695,3636,3476,3271,3168,2987,2698,2621,2539,2388,2338,2311,2251,2221,2235,2041,5900,5400,4800,4200,4000,3700,3600,3400,3400,1557,2000,2100,2100,2100,2100,2300,2300,2400,2400,2700,2900,2900,3430
  35 - 39 Years,12387,11815,11670,12252,12905,13660,14313,15016,15336,15938,16402,16767,16828,16980,16047,13502,12134,10338,8483,6979,6374,5872,5244,4919,4564,4207,3913,3723,3464,3209,3008,2830,2597,2445,2315,2284,2291,2298,2118,1851,1646,1429,1232,1250,4800,4300,4000,3600,3400,3300,3100,3200,3000,1535,2600,2600,2600,2500,2500,2600,2600,2600,2500,2600,2700,2400,2884
  40 - 44 Years,15258,14654,14287,14698,15202,15500,15896,16140,16391,16319,15949,15278,14672,14046,12802,11129,10101,8712,7402,6355,5662,5207,4697,4323,3867,3546,3230,2938,2724,2634,2497,2457,2420,2163,1805,1601,1387,1188,1220,1304,1349,1378,1411,1398,3500,3100,3100,2900,2800,2900,2800,2700,2700,1472,2800,2800,2900,2400,2300,2300,2300,2200,2000,2000,1900,1900,2171
  45 - 49 Years,15497,15148,14678,15231,15143,14801,14344,13870,13320,12712,12295,11648,10905,10230,9408,8154,7358,6449,5538,4801,4331,4022,3619,3365,3163,2867,2736,2642,2386,2080,1790,1519,1231,1212,1259,1302,1324,1367,1359,1306,1277,1292,1248,1279,2500,2600,2600,2500,2400,2400,2400,2400,2400,1354,2600,2300,2300,2000,1900,1800,1700,1600,1600,1600,1500,1400,1783
  50 - 54 Years,13897,13035,12160,12020,11411,11049,10548,9957,9447,9042,8471,7892,7365,6747,6194,5465,4966,4369,3783,3395,3013,3278,3118,2829,2401,2033,1721,1420,1423,1433,1434,1400,1390,1325,1263,1256,1272,1232,1255,1239,1250,1220,1248,1193,2000,2000,2000,2000,2000,1900,1900,1900,1800,1135,1900,1800,1700,1600,1300,1400,1400,1400,1400,1300,1400,1300,1444
  55 - 59 Years,10077,9235,8197,8276,7889,7405,6893,6521,6135,5752,5378,4989,4646,4276,4000,3599,3381,3183,2797,2334,1945,1946,1604,1586,1554,1530,1481,1462,1405,1349,1303,1300,1243,1266,1228,1227,1206,1216,1144,1100,1060,1060,1033,1016,1600,1500,1500,1400,1400,1200,1200,1200,1300,811,1400,1500,1400,1200,1000,1200,1200,1000,1000,1100,1100,1000,1018
  60 - 64 Years,6612,5911,5306,5327,5028,4694,4414,4159,3864,3707,3517,3385,3326,3045,2614,2236,1892,1510,1409,1416,1354,1525,1508,1448,1380,1328,1301,1250,1260,1241,1219,1202,1203,1113,1074,1052,1021,988,964,940,927,870,808,751,900,800,900,1000,800,800,800,900,900,624,1100,1200,1000,900,900,900,800,700,800,600,600,600,608
  65 - 69 Years,4140,3683,3265,3356,3220,3065,2960,2900,2679,2372,2109,1804,1509,1438,1426,1376,1308,1277,1213,1166,1136,1268,1230,1223,1197,1189,1163,1160,1103,1068,1026,982,925,910,868,850,804,731,673,632,575,566,559,542,600,600,500,500,500,700,600,600,600,519,800,800,700,600,500,500,500,500,400,200,400,400,440
  70 - 74 Years,2659,2439,2234,2315,2025,1792,1531,1277,1228,1278,1250,1221,1213,1183,1092,1057,1037,993,997,981,954,1095,1115,1078,1020,969,925,846,806,759,736,699,643,601,560,508,493,490,474,448,422,388,371,359,na,na,na,na,na,na,na,na,na,290,na,na,na,na,na,na,na,na,na,na,na,na,288
  75 - 79 Years,1480,1220,955,1005,1071,1049,1022,1039,1013,971,936,922,877,868,858,823,795,783,693,655,597,816,730,660,617,574,545,499,472,449,415,404,408,397,na,na,na,na,na,na,na,na,na,254,na,na,na,na,na,na,na,na,na,163,na,na,na,na,na,na,na,na,na,na,na,na,126
  80 - 84 Years,800,769,775,799,736,738,732,678,691,705,695,650,635,559,508,464,440,431,414,411,375,397,357,335,313,303,285,281,281,279,255,227,213,206,na,na,na,na,na,na,na,na,na,144,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,61
  85 - 89 Years,514,520,472,476,477,474,445,442,393,379,335,303,274,261,265,252,236,206,198,183,171,182,174,158,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,9942,8974,8044,8254,7815,7362,6925,6552,6220,5911,5517,5074,4667,4458,4290,4104,3926,3793,3602,3490,3322,3901,3744,3580,3436,3301,3163,3007,2871,2742,2614,2474,2337,2241,2125,2024,1912,1802,1712,1625,1516,1453,1408,1365,1500,1500,1300,1400,1300,1600,1400,1400,1400,1147,1500,1500,1300,1200,1100,1100,1100,1200,1100,900,1000,1000,952
  70 Years & Over,5802,5291,4779,4898,4595,4297,3965,3652,3541,3539,3408,3270,3158,3020,2864,2728,2618,2516,2389,2324,2186,2633,2514,2357,2239,2112,2000,1847,1768,1674,1588,1492,1412,1331,1257,1174,1108,1071,1039,993,941,887,849,823,900,900,800,900,800,900,800,800,800,628,700,700,600,600,600,600,600,700,700,700,600,600,512
  75 Years & Over,3143,2852,2545,2583,2570,2505,2434,2375,2313,2261,2158,2049,1945,1837,1772,1671,1581,1523,1392,1343,1232,1538,1399,1279,1219,1143,1075,1001,962,915,852,793,769,730,697,666,615,581,565,545,519,499,478,464,na,na,na,na,na,na,na,na,na,338,na,na,na,na,na,na,na,na,na,na,na,na,224
  80 Years & Over,1663,1632,1590,1578,1499,1456,1412,1336,1300,1290,1222,1127,1068,969,914,848,786,740,699,688,635,722,669,619,602,569,530,502,490,466,437,389,361,333,na,na,na,na,na,na,na,na,na,210,na,na,na,na,na,na,na,na,na,175,na,na,na,na,na,na,na,na,na,na,na,na,98
  85 Years & Over,863,863,815,779,763,718,680,658,609,585,527,477,433,410,406,384,346,309,285,277,260,325,312,284,289,266,245,221,209,187,182,162,148,127,na,na,na,na,na,na,na,na,na,66,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,37
  90 Years & Over,349,343,343,303,286,244,235,216,216,206,192,174,159,149,141,132,110,103,87,94,89,143,138,126,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Other Ethnic Groups (Males),62941,60455,57923,59315,59398,59481,59531,59783,59913,60088,60256,59914,59730,59838,57264,49230,44309,38672,33263,28484,25906,25089,23084,21818,20763,19694,18772,17898,17245,16744,16139,15592,14993,14290,13472,13233,12995,12742,12474,12163,11888,11591,11311,11044,25900,25200,24500,23800,23100,22300,21600,20900,20200,11756,18500,18600,17400,15400,14900,15100,15200,14700,14400,14600,14900,14500,17860
  0 - 4 Years,3074,3118,3070,3045,3095,3150,3154,3108,3059,3009,3299,3651,4080,4589,4749,4336,3970,3559,3076,2658,2429,2349,2229,2119,2184,2261,2334,2346,2430,2447,2434,2357,2169,1943,1700,1544,1445,1451,1507,1417,1324,1195,1066,975,2500,2600,2700,2800,2800,2800,2600,2400,2300,1337,2000,2100,2100,1900,2000,2100,2200,2200,2100,2200,2100,2200,2520
  5 - 9 Years,3981,3836,3703,3639,3556,3701,3941,4263,4538,4884,4989,5018,4995,5067,4922,4302,4000,3519,3025,2619,2438,2413,2224,2157,2165,2158,2129,2011,1867,1787,1644,1495,1412,1293,1304,1307,1249,1132,972,921,890,940,949,924,2600,2500,2400,2200,2200,2000,2100,2200,2100,1364,2300,2400,2200,2000,2000,1900,2000,1800,1900,1900,2000,2000,2247
  10 - 14 Years,3929,3901,4018,4212,4479,4536,4482,4456,4509,4492,4421,4364,4273,4112,3842,3343,2997,2690,2419,2230,2158,2105,1977,1833,1765,1664,1525,1444,1353,1237,1148,1071,996,928,875,863,919,936,931,931,919,885,875,921,2000,2000,1900,2000,2000,2000,2000,1900,2000,1346,2200,2100,2100,1800,1800,1800,1800,1700,1700,1500,1200,1100,1088
  15 - 19 Years,4410,4261,4107,4186,4135,4045,3990,3905,3736,3545,3351,3156,2938,2782,2622,2446,2217,2052,1838,1705,1619,1506,1435,1383,1245,1149,1071,1027,966,920,884,928,944,942,912,906,873,875,926,977,1062,1105,1128,1118,1800,1800,1800,1900,1900,1800,1800,1600,1500,1191,1900,1900,1700,1500,1400,1200,1000,800,600,700,800,900,1066
  20 - 24 Years,3906,3781,3663,3551,3375,3139,2937,2702,2587,2432,2360,2272,2191,2175,2164,1929,1777,1659,1576,1359,1205,1097,1036,982,952,922,954,932,921,921,893,859,867,916,921,1022,1099,1144,1148,1165,1120,1088,1091,1055,1900,1900,1800,1800,1800,1900,1800,1800,1600,1049,1300,1000,800,700,600,700,800,900,800,800,900,900,1390
  25 - 29 Years,3053,2801,2537,2485,2351,2324,2220,2168,2136,2201,2364,2586,3158,3826,4096,3010,2475,2010,1662,1401,1250,1251,1192,1206,1221,1150,1033,970,984,1034,1111,1170,1228,1237,1201,1185,1183,1195,1153,1086,1065,1015,974,963,2400,2500,2600,2600,2400,2100,1900,1800,1500,647,700,800,800,800,800,800,1000,1000,1000,1100,1300,1300,1740
  30 - 34 Years,2858,2661,2503,2482,2524,2678,2900,3418,3954,4632,5282,5834,6318,6756,6558,5186,4664,3830,3146,2351,2102,1935,1713,1650,1595,1553,1473,1431,1374,1376,1355,1338,1345,1323,1187,1163,1123,1061,1050,1074,1056,1076,1090,993,3100,2900,2600,2200,2200,1900,1900,1700,1700,700,900,1100,1000,1000,1000,1100,1100,1100,1100,1300,1500,1500,1869
  35 - 39 Years,3792,3701,3828,4191,4717,5256,5830,6337,6683,7094,7462,7737,7854,7936,7552,6276,5602,4726,3890,3123,2866,2537,2252,2073,1898,1704,1604,1540,1463,1382,1338,1272,1199,1159,1116,1103,1128,1125,1025,909,826,704,604,617,2700,2400,2200,2000,1800,1800,1700,1800,1700,787,1400,1400,1200,1200,1200,1300,1300,1300,1200,1300,1400,1200,1619
  40 - 44 Years,5815,5919,5953,6323,6713,7032,7433,7717,7900,7961,7743,7475,7166,6978,6432,5703,5129,4410,3640,3030,2644,2408,2146,1971,1762,1621,1463,1351,1295,1284,1235,1242,1244,1090,902,815,694,591,606,632,645,658,660,644,2000,1900,1800,1700,1600,1600,1600,1500,1500,761,1500,1500,1600,1200,1100,1100,1200,1100,1000,1100,1000,1000,1242
  45 - 49 Years,7106,7102,6991,7330,7385,7225,7065,6860,6761,6513,6482,6138,5812,5451,4992,4307,3821,3308,2834,2424,2198,2006,1797,1700,1610,1460,1426,1374,1208,1076,946,804,646,619,626,634,649,655,641,609,605,629,630,665,1500,1500,1500,1400,1400,1400,1400,1400,1400,733,1300,1200,1200,1000,1000,900,800,800,800,800,700,600,987
  50 - 54 Years,6801,6455,5998,6059,5825,5800,5595,5371,5107,4839,4538,4256,3976,3693,3380,3010,2725,2405,2093,1889,1660,1803,1706,1508,1280,1095,921,756,755,742,712,697,676,634,596,598,612,607,630,642,650,630,647,627,1200,1200,1200,1200,1200,1100,1100,1100,1100,648,1000,1000,900,800,600,700,600,700,700,600,700,700,837
